Customer,Occuspace
Date Range,05/01/2023 - 05/01/2024
Hour Range,6 - 23
Days of the Week,Sun - Sat
Time Interval,30min

Location,Timestamp,Date,Day of Week,Week of Year,Time,Hour of Day,Average Occupancy,Average Utilization,Peak Occupancy,Peak Utilization,Capacity,Location Path
Lower Exercise Room,05/14/2023 21:30,5/14/2023,1,20,9:30:00 PM,21,22,0.26,28,0.33,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 22:00,5/14/2023,1,20,10:00:00 PM,22,3,0.04,11,0.13,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 22:30,5/14/2023,1,20,10:30:00 PM,22,1,0.01,2,0.02,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 23:00,5/14/2023,1,20,11:00:00 PM,23,1,0.01,2,0.02,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 23:30,5/14/2023,1,20,11:30:00 PM,23,1,0.01,2,0.02,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 6:00,5/15/2023,2,20,6:00:00 AM,6,17,0.20,25,0.29,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 6:30,5/15/2023,2,20,6:30:00 AM,6,31,0.36,35,0.41,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 7:00,5/15/2023,2,20,7:00:00 AM,7,41,0.48,50,0.59,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 7:30,5/15/2023,2,20,7:30:00 AM,7,38,0.45,42,0.49,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 8:00,5/15/2023,2,20,8:00:00 AM,8,37,0.44,54,0.64,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 8:30,5/15/2023,2,20,8:30:00 AM,8,40,0.47,54,0.64,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 9:00,5/15/2023,2,20,9:00:00 AM,9,44,0.52,47,0.55,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 9:30,5/15/2023,2,20,9:30:00 AM,9,47,0.55,55,0.65,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 10:00,5/15/2023,2,20,10:00:00 AM,10,59,0.69,69,0.81,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 10:30,5/15/2023,2,20,10:30:00 AM,10,59,0.69,68,0.80,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 11:00,5/15/2023,2,20,11:00:00 AM,11,58,0.68,68,0.80,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 11:30,5/15/2023,2,20,11:30:00 AM,11,63,0.74,76,0.89,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 12:00,5/15/2023,2,20,12:00:00 PM,12,66,0.78,79,0.93,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 12:30,5/15/2023,2,20,12:30:00 PM,12,64,0.75,79,0.93,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 13:00,5/15/2023,2,20,1:00:00 PM,13,52,0.61,57,0.67,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 13:30,5/15/2023,2,20,1:30:00 PM,13,53,0.62,57,0.67,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 14:00,5/15/2023,2,20,2:00:00 PM,14,61,0.72,68,0.80,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 14:30,5/15/2023,2,20,2:30:00 PM,14,70,0.82,75,0.88,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 15:00,5/15/2023,2,20,3:00:00 PM,15,59,0.69,70,0.82,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 15:30,5/15/2023,2,20,3:30:00 PM,15,66,0.78,77,0.91,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 16:00,5/15/2023,2,20,4:00:00 PM,16,66,0.78,73,0.86,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 16:30,5/15/2023,2,20,4:30:00 PM,16,74,0.87,82,0.96,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 17:00,5/15/2023,2,20,5:00:00 PM,17,93,1.09,104,1.22,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 17:30,5/15/2023,2,20,5:30:00 PM,17,79,0.93,104,1.22,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 18:00,5/15/2023,2,20,6:00:00 PM,18,81,0.95,88,1.04,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 18:30,5/15/2023,2,20,6:30:00 PM,18,90,1.06,98,1.15,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 19:00,5/15/2023,2,20,7:00:00 PM,19,73,0.86,95,1.12,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 19:30,5/15/2023,2,20,7:30:00 PM,19,86,1.01,91,1.07,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 20:00,5/15/2023,2,20,8:00:00 PM,20,85,1.00,93,1.09,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 20:30,5/15/2023,2,20,8:30:00 PM,20,85,1.00,98,1.15,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 21:00,5/15/2023,2,20,9:00:00 PM,21,69,0.81,81,0.95,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 21:30,5/15/2023,2,20,9:30:00 PM,21,60,0.71,66,0.78,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 22:00,5/15/2023,2,20,10:00:00 PM,22,51,0.60,56,0.66,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 22:30,5/15/2023,2,20,10:30:00 PM,22,43,0.51,62,0.73,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
